dataset,field,type,required,description
works,id,string,Y,著作唯一ID
works,title,string,Y,著作标题
works,period,enum,Y,四阶段朝代
works,primaryType,enum,Y,主关联建筑类型
works,keywords,string[],Y,关键词
works,relatedCraftsmen,id[],Y,关联工匠ID
works,relatedBuildings,id[],Y,关联建筑ID
works,sourceRefs,sourceId[],Y,来源编号
works,confidence,A|B|C,Y,可信度等级
works,tier,core|extended,Y,分层标记
craftsmen,id,string,Y,工匠唯一ID
craftsmen,name,string,Y,姓名
craftsmen,period,enum,Y,四阶段朝代
craftsmen,primaryType,enum,Y,主关联建筑类型
craftsmen,mentorIds,id[],Y,师承对象
craftsmen,studentIds,id[],Y,弟子对象
craftsmen,relatedWorks,id[],Y,关联著作ID
craftsmen,relatedBuildings,id[],Y,关联建筑ID
craftsmen,schoolTags,string[],Y,流派标签
craftsmen,sourceRefs,sourceId[],Y,来源编号
craftsmen,confidence,A|B|C,Y,可信度等级
craftsmen,tier,core|extended,Y,分层标记
lineageEdges,source,id,Y,关系起点
lineageEdges,target,id,Y,关系终点
lineageEdges,relationType,enum,Y,mentor/student/collab/school
lineageEdges,evidenceRef,sourceId,Y,证据来源
lineageEdges,isInferred,bool,Y,是否推断关系
